Row ID,Order ID,Order Date,Ship Date,Ship Mode,Customer ID,Customer Name,Segment,Country,City,State,Postal Code,Region,Retail Sales People,Product ID,Category,Sub-Category,Product Name,Returned,Sales,Quantity,Discount,Profit
48,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Not,45.00,3,0.00,4.95
49,CA-2016-169194,6/20/2016,6/25/2016,Standard Class,LH-16900,Lena Hernandez,Consumer,United States,Dover,Delaware,19901,East,Chuck Magee,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",Not,21.80,2,0.00,6.10
50,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",Not,38.22,6,0.00,17.96
51,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,OFF-LA-10002762,Office Supplies,Labels,Avery 485,Not,75.18,6,0.00,35.33
52,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,Not,6.16,2,0.00,2.96
53,CA-2015-115742,4/18/2015,4/22/2015,Standard Class,DP-13000,Darren Powers,Consumer,United States,New Albany,Indiana,47150,Central,Kelly Williams,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",Not,89.99,1,0.00,17.10
54,CA-2016-105816,11/12/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Chuck Magee,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,Not,15.26,7,0.00,6.26
55,CA-2016-105816,11/12/2016,12/17/2016,Standard Class,JM-15265,Janet Molinari,Corporate,United States,New York City,New York,10024,East,Chuck Magee,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,Not,1029.95,5,0.00,298.69
56,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,Yes,208.56,6,0.00,52.14
57,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,Yes,32.40,5,0.00,15.55
58,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,Yes,319.41,5,0.10,7.10
59,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",Yes,14.56,2,0.00,6.99
60,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,Yes,30.00,2,0.00,3.30
61,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,Yes,48.48,4,0.20,16.36
62,CA-2016-111682,6/17/2016,6/18/2016,First Class,TB-21055,Ted Butterfield,Consumer,United States,Troy,New York,12180,East,Chuck Magee,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,Yes,1.68,1,0.00,0.84
63,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",Not,13.98,2,0.00,6.15
64,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",Not,25.82,6,0.20,9.36
65,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,Not,146.73,3,0.00,68.96
66,CA-2015-135545,11/24/2015,11/30/2015,Standard Class,KM-16720,Kunst Miller,Consumer,United States,Los Angeles,California,90004,West,Anna Andreadi,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,Not,79.76,4,0.00,22.33
67,US-2015-164175,4/30/2015,5/5/2015,Standard Class,PS-18970,Paul Stevenson,Home Office,United States,Chicago,Illinois,60610,Central,Kelly Williams,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",Not,213.12,5,0.30,-15.22
68,CA-2014-106376,5/12/2014,10/12/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Anna Andreadi,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",Not,1113.02,8,0.20,111.30
69,CA-2014-106376,5/12/2014,10/12/2014,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,Anna Andreadi,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,Not,167.97,4,0.20,62.99
70,CA-2016-119823,4/6/2016,6/6/2016,First Class,KD-16270,Karen Daniels,Consumer,United States,Springfield,Virginia,22153,South,Cassandra Brandow,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",Not,75.88,2,0.00,35.66
71,CA-2016-106075,9/18/2016,9/23/2016,Standard Class,HM-14980,Henry MacAllister,Consumer,United States,New York City,New York,10009,East,Chuck Magee,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,Not,4.62,1,0.20,1.73
72,CA-2017-114440,9/14/2017,9/17/2017,Second Class,TB-21520,Tracy Blumstein,Consumer,United States,Jackson,Michigan,49201,Central,Kelly Williams,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Not,19.05,3,0.00,8.76
73,US-2015-134026,4/26/2015,4/26/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,Not,831.94,8,0.20,-114.39
74,US-2015-134026,4/26/2015,4/26/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",Not,97.04,2,0.20,1.21
75,US-2015-134026,4/26/2015,4/26/2015,Standard Class,JE-15745,Joel Eaton,Consumer,United States,Memphis,Tennessee,38109,South,Cassandra Brandow,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,Not,72.78,1,0.20,-18.20
76,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,Not,1.25,3,0.80,-1.93
77,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",Not,9.71,3,0.60,-5.82
78,US-2017-118038,9/12/2017,11/12/2017,First Class,KB-16600,Ken Brennan,Corporate,United States,Houston,Texas,77041,Central,Kelly Williams,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",Not,27.24,3,0.20,2.72
79,US-2014-147606,11/26/2014,11/26/2014,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,Kelly Williams,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Not,19.30,5,0.60,-14.48
80,CA-2016-127208,12/6/2016,12/6/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Cassandra Brandow,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",Not,208.16,1,0.00,56.20
81,CA-2016-127208,12/6/2016,12/6/2016,First Class,SC-20770,Stewart Carmichael,Corporate,United States,Decatur,Alabama,35601,South,Cassandra Brandow,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,Not,16.74,3,0.00,8.04
82,CA-2014-139451,12/10/2014,12/10/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Anna Andreadi,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",Not,14.90,5,0.00,4.17
83,CA-2014-139451,12/10/2014,12/10/2014,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,Anna Andreadi,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",Not,21.39,1,0.00,6.20
84,CA-2015-149734,3/9/2015,8/9/2015,Standard Class,JC-16105,Julie Creighton,Corporate,United States,Durham,North Carolina,27707,South,Cassandra Brandow,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,Not,200.98,7,0.20,62.81
85,US-2017-119662,11/13/2017,11/16/2017,First Class,CS-12400,Christopher Schild,Home Office,United States,Chicago,Illinois,60623,Central,Kelly Williams,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,Not,230.38,3,0.20,-48.95
86,CA-2017-140088,5/28/2017,5/30/2017,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Columbia,South Carolina,29203,South,Cassandra Brandow,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,Not,301.96,2,0.00,33.22
87,CA-2017-155558,10/26/2017,10/26/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Kelly Williams,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,Not,19.99,1,0.00,6.80
88,CA-2017-155558,10/26/2017,10/26/2017,Standard Class,PG-18895,Paul Gonzalez,Consumer,United States,Rochester,Minnesota,55901,Central,Kelly Williams,OFF-LA-10000134,Office Supplies,Labels,Avery 511,Not,6.16,2,0.00,2.96
89,CA-2016-159695,5/4/2016,10/4/2016,Second Class,GM-14455,Gary Mitchum,Home Office,United States,Houston,Texas,77095,Central,Kelly Williams,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,Not,158.37,7,0.20,13.86
90,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Anna Andreadi,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,Yes,20.10,3,0.00,6.63
91,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Anna Andreadi,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,Yes,73.58,2,0.20,8.28
92,CA-2016-109806,9/17/2016,9/22/2016,Standard Class,JS-15685,Jim Sink,Corporate,United States,Los Angeles,California,90036,West,Anna Andreadi,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,Yes,6.48,1,0.00,3.11
93,CA-2015-149587,1/31/2015,5/2/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Kelly Williams,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,Not,12.96,2,0.00,6.22
94,CA-2015-149587,1/31/2015,5/2/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Kelly Williams,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",Not,53.34,3,0.00,16.54
95,CA-2015-149587,1/31/2015,5/2/2015,Second Class,KB-16315,Karl Braun,Consumer,United States,Minneapolis,Minnesota,55407,Central,Kelly Williams,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,Not,32.96,2,0.00,16.15
96,US-2017-109484,6/11/2017,12/11/2017,Standard Class,RB-19705,Roger Barcio,Home Office,United States,Portland,Oregon,97206,West,Anna Andreadi,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,Not,5.68,1,0.70,-3.79
97,CA-2017-161018,9/11/2017,11/11/2017,Second Class,PN-18775,Parhena Norris,Home Office,United States,New York City,New York,10009,East,Chuck Magee,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,Not,96.53,7,0.00,40.54
98,CA-2017-157833,6/17/2017,6/20/2017,First Class,KD-16345,Katherine Ducich,Consumer,United States,San Francisco,California,94122,West,Anna Andreadi,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,Not,51.31,3,0.20,17.96
99,CA-2016-149223,6/9/2016,11/9/2016,Standard Class,ER-13855,Elpida Rittenbach,Corporate,United States,Saint Paul,Minnesota,55106,Central,Kelly Williams,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,Not,77.88,6,0.00,22.59
